System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.50(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.37(Debug=False)

Messages
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Zeitschaltuhr HMI"LGO 2 TS"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Zeitschaltuhr HMI"LGO 3 TS"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Zeitschaltuhr HMI"ALO 1 TS"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Zeitschaltuhr HMI"ALO 2 TS"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Zeitschaltuhr HMI"ALO 3 TS"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Zeitschaltuhr HMI"ALO 4 TS"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Zeitschaltuhr HMI"ALO 5 TS"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Zeitschaltuhr HMI"ALO 6 TS"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Zeitschaltuhr HMI"ALO 7 TS"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.User SyncBenutzer" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"HMI Station Data"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD LGO 1"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD LGO 2"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD LGO 3"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD ALO 1"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD ALO 2"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD ALO 3"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD ALO 4"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD ALO 5"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD ALO 6"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD ALO 7"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD In"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD AP ALO 1"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Prozessdaten kopieren"PD AP ALO 2"" is not supported! | TIAParser.CreateMemberInfo() | 
